No.,도서관 구분,도서관명,이용시간,휴관일,전화번호,홈페이지,자치구,주소,책이음,수정일
2020,작은 도서관,꿈나래작은도서관,"평일 : 10:00~17:00, 주말 : (토)10:00~17:00, (일)09:00~17:00","월요일, 공휴일",02-2658-1472,,강서구,"서울특별시 강서구 양천로47가길 25-10, 양천교회",미참여,
2157,작은 도서관,꿈나무작은도서관,월~금 14:00~18:00,"토, 일요일",,,동대문구,서울특별시 동대문구 전농로4길 7 답십리교회 1층,미참여,
2651,작은 도서관,꿈누리작은도서관,월~토 : 09:00~21:00,"일, 법정공휴일",02-426-9469,,강동구,서울특별시 강동구 동남로 83길 87(고덕동) 1층,미참여,2021-02-09
2480,작은 도서관,꿈담도서관,"평일 : 화~금 : 09:00~18:00, 주말 : 토 : 09:00~17:00","월요일, 일요일",02-826-6300,http://lib.dongjak.go.kr/,동작구,서울특별시 동작구 성대로2길 9 3층,미참여,
2172,작은 도서관,꿈담은작은도서관,"평일 : 13:00~19:00, 주말 : 12:00~18:00",일요일,,,은평구,서울특별시 은평구 연서로 41길 4(지층),미참여,
2588,작은 도서관,꿈마루 작은 도서관,평일 : 11:00~17:00,"매주 월, 토, 일",,,은평구,서울특별시 은평구 진흥로 5길 19,미참여,2021-01-14
1079,작은 도서관,꿈마루도서관,"평일 : 10:00~18:00, 주말 : 09:00~18:00","월,공휴일",070-7457-1190,dongan.winbook.kr,동대문구,서울특별시 동대문구 이문로 55 동안교회 선교센터,미참여,
2029,작은 도서관,꿈마루작은도서관,"평일 : 14:00~18:00, 주말 : 토요일:14:00~18:00","월요일, 일요일, 법정공휴일",02-863-2998,www.smalllibrary.org,구로구,"서울특별시 구로구 구로중앙로28다길 5, 대신교회 2층",미참여,
61,공공 도서관,꿈마을도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정 공휴일,02-830-5807,http://lib.guro.go.kr,구로구,서울특별시 구로구 디지털로27다길 65,참여,2021-01-14
250,작은 도서관,꿈마을도서관,"평일 : 10:00~18:00, 주말 : 10:00~16:00","일요일, 공휴일",02-886-3196,해당없음,관악구,서울특별시 관악구 중앙2길 16 2층,미참여,2021-09-06
2481,작은 도서관,꿈먹작은도서관,평일 : 화~금 : 10:00~16:00,"월요일, 토요일, 일요일",02-584-8693,http://lib.dongjak.go.kr/,동작구,서울특별시 동작구 동작대로11길 77 성진교회,미참여,
1574,작은 도서관,꿈밭작은도서관,"평일, 주말: 10:00~17:00(상시운영)",,02-3462-9962,,강남구,서울특별시 강남구 자곡로 204-19 2층,미참여,
1626,작은 도서관,꿈빛도서관,"평일 : 10:00~17:00, 주말 : 토 10:00~17:00, 일요일 12:00~14:00","월요일, 공휴일",02-335-0911,http://www.hwapyungch.com,마포구,서울특별시 마포구 희우정로 109 화평교회 3층,미참여,
2018,작은 도서관,꿈빛작은도서관,"평일 : 10:00~16:00, 주말 : 휴관일","토요일, 일요일, 공휴일",070-8804-6677,,강서구,"서울특별시 강서구 공항대로 140, 1203동 1층",미참여,
2045,작은 도서관,꿈사랑도서관,"평일 : 13:00~19:00, 주말 : (토):12:00~17:00","일요일, 공휴일",02-2217-8851,,동대문구,"서울특별시 동대문구 한천로37길 33, 래미안엘파인아파트 아파트내",미참여,
1676,작은 도서관,꿈샘도서관,"평일 : 10:00~17:00, 주말 : 10:00~17:00",월요일,02-376-9191,,은평구,서울특별시 은평구 응암로 20길 24,미참여,
560,작은 도서관,꿈샘작은도서관,"평일 : 10:00~18:00, 주말 : 10:00~20:00",없음,02-2299-0817,,성동구,서울특별시 성동구 한림말길 33 1층,미참여,
336,작은 도서관,꿈씨어린이작은도서관,"평일 : 10:00~20:00, 주말 : 토:09:00~17:00","일, 법정공휴일",02-2104-5625,cafe.daum.net/dschildlib,금천구,서울특별시 금천구 독산로 232 독산4동주민센터 2층,참여,
1873,작은 도서관,꿈을심는작은도서관,"평일 : 09:00~13:00, 주말 : 09:00~15:00","월,화,공휴일",02-992-4106,http://www.unilib.dobong.kr/,도봉구,서울특별시 도봉구 우이천로 38 라길 28-4 1층,미참여,
470,작은 도서관,꿈을이루는작은도서관,"평일 : 09:00~19:00, 주말 : 10:00~16:00",매주 일요일 및 법정공휴일,02-706-4785,http://www.mplib.mapo.go.kr,마포구,서울특별시 마포구 마포대로 7길 18 아현동 주민센터 2층,참여,
1441,작은 도서관,꿈의숲푸르지오키즈&맘북카페,"평일 : 10:00~14:00, 주말 : 휴관일","토요일, 일요일",02-942-9980,http://prugio.egentouch.com/egentouch.web/main.do?action=main,성북구,서울특별시 성북구 오패산로 16가길 40 꿈의숲푸르지오아파트,미참여,
2733,작은 도서관,꿈이 자라는 작은도서관,"평일 : 09:00~18:00, 주말 : 09:00 ~ 16:00",일요일,,,동대문구,서울시 동대문구 고미술로 12 ㄱ4층,미참여,2021-08-28
1904,작은 도서관,꿈이익어가는작은도서관,"평일 : 11:30~18:00, 주말 : 11:30~18:00",월요일,,,강북구,서울특별시 강북구 삼양로 106-1 1층,미참여,
2553,작은 도서관,꿈이있는 작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","매주 토요일,일요일",02-833-7213,,영등포구,서울특별시 영등포구 신풍로16길 1,미참여,
690,작은 도서관,꿈이있는도서관,"평일 : 10:00~18:00, 주말 : 휴관일","토요일, 일요일, 공휴일",02-2667-1114,,영등포구,서울특별시 강서구 강서로47길 108 마곡수명산파크 1단지,미참여,
1658,작은 도서관,꿈이자라는땅작은도서관,"평일 : 13:00~18:00, 주말 : 13:00~18:00",매주 월요일,070-7656-5669,없음,송파구,서울특별시 송파구 마천로35길 19 비손빌딩 2층,미참여,
2482,작은 도서관,꿈익는책마을,"평일 : 월~토 : 10:30~18:00, 일 : 10:30~16:00",없음,02-821-0667,http://lib.dongjak.go.kr/,동작구,서울특별시 동작구 상도로38길 24 남현교회,미참여,
1583,작은 도서관,꿈익는책마을어린이도서관,"평일 : 09:00~17:30, 주말 : 10:00~13:00",일요일,02-945-1305,https://sy.winbook.kr,강북구,서울특별시 강북구 삼양로47길 9 삼양동 종합복지센터 2층 2층,미참여,
2540,작은 도서관,꿈자람작은도서관,"평일 : 10:00~18:00, 토요일 : 10:00~13:00","일, 법정공휴일",02-2654-3970,http://lib.yangcheon.go.kr/,양천구,서울특별시 양천구 목동중앙남로16나길 55 목3동주민센터 2층,참여,
2432,작은 도서관,꿈자람책놀이터작은도서관,"평일 : 09:00~20:00, 주말 : (토) 09:30~15:00","일요일, 공휴일",070-5153-8240,http://lib.gangseo.seoul.kr/,강서구,서울특별시 강서구 개화동로 21길 4 방화11단지아파트 종합사회복지관,미참여,2022-06-09
1455,작은 도서관,꿈지락작은도서관,평일 : 13:00~17:00,"토요일, 일요일",,,은평구,서울특별시 은평구 진관1로 77-8 은평뉴타운폭포동아파트 402동 1층,미참여,
706,작은 도서관,꿈터마을도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-836-1005,https://www.ydplib.or.kr/small,영등포구,서울특별시 영등포구 도림로 264 신길5동주민센터,참여,2021-08-28
566,작은 도서관,꿈터어린이도서관,"평일 : 14:00~18:00, 주말 : 14:00~18:00",일요일,02-2292-8115,https://www.facebook.com/dreambook2011,성동구,서울특별시 성동구 사근동9가길 23 별관 1층,미참여,
1276,작은 도서관,꿈터작은도서관,"평일 : 10:00~17:00, 주말 : 09:30~12:30","일요일, 공휴일",02-2600-7515,http://lib.gangseo.seoul.kr/,강서구,서울특별시 강서구 곰달래로 79 화곡1동주민센터 3층,미참여,2021-08-28
567,작은 도서관,꿈터작은도서관,"평일 : 10:00~19:30, 주말 : 휴관일","토, 일, 공휴일",02-942-5978,없음,성북구,서울특별시 성북구 정릉로 305 경남아파트 상가 204호 3층,미참여,2021-08-28
1295,작은 도서관,꿈터작은도서관(천왕이펜6단지),"평일 : 14:00~17:00, 주말 : 11:00~15:00","월, 수, 금, 일요일",02-6083-2787,,구로구,서울특별시 구로구 천왕로 9 천왕이펜하우스 6단지,참여,2021-01-14
572,작은 도서관,꿈틀도서관,"평일 : 10:00~19:00, 주말 : 휴관일","토요일, 일요일.공휴일",02-941-5639,http://gumtle.egentouch.com/egentouch.web/main.do?action=main,성북구,서울특별시 성북구 종암로 214-6 나눔의집 1층 꿈,미참여,
345,작은 도서관,나누리작은도서관,평일 : 13:00~17:00,"토, 일요일, 법정공휴일",,,금천구,"서울특별시 은평구 진관1로 55, (진관동, 은평뉴타운 마고정) 301호",미참여,
2115,작은 도서관,나누리작은도서관,"평일 : 오전:10:00~12:00, 오후:14:00~17:00, 주말 : 휴관일","토, 일요일, 법정공휴일",,,은평구,"서울특별시 은평구 진관1로 55, (진관동, 은평뉴타운 마고정)",미참여,
1449,작은 도서관,나눔플러스아름인도서관,"평일 : 11:00~20:00, 주말 : 휴관일","토,일요일",02-997-5579,http://www.unilib.dobong.kr/,도봉구,서울특별시 도봉구 도봉로109길 40 2층,미참여,
2661,작은 도서관,나들목 작은도서관,"평일 : 10:00~20:00, 주말 : 10:00~18:00","일요일, 공휴일",,,관악구,서울특별시 관악구 남부순환로172길 63 좋은만남교회,미참여,2021-02-09
431,작은 도서관,나들목가족도서관,"평일 : 10:30~20:30, 주말 : 10:30~18:00",매주 월요일,02-921-4085,nadulmok.egentouch.com,동대문구,서울특별시 동대문구 안암로6 대광고 60주년 기념관 대광고 60주년 기념관 1층,미참여,
1851,작은 도서관,나무그늘작은도서관,"평일 : 13:30~17:30, 주말 : 휴관일","토요일, 일요일, 공휴일",02-2663-7235,,강서구,서울특별시 강서구 마곡서1로 100 2층,미참여,
1880,작은 도서관,나무별작은도서관,"평일 : 월~금 : 10:00~17:00, 주말 : 토 : 10:00~17:00",일요일,02-6095-0578,http://lib.dongjak.go.kr/,동작구,서울특별시 동작구 장승배기로 6 지층,미참여,
2743,작은 도서관,나무야작은도서관,-,-,02-848-0815,,영등포구,"서울특별시 영등포구 영신로 19길24,2층",미참여,2021-08-28
1369,작은 도서관,나무와열매어린이도서관,"평일 : 10:00~18:00, 주말 : 14:00~18:00",일요일 및 법정 공휴일,02-736-3766,http://seeat.tistory.com,종로구,서울특별시 종로구 통일로 266(무악동) 2층 205호,미참여,
1852,작은 도서관,나팔부는작은도서관,"평일 : (월, 수, 목):10:00~18:00, (화):15:00~21:00, (금):15:00~18:00, 주말 : 14:00~16:00","일요일, 공휴일",02-2664-3320,,강서구,서울특별시 강서구 마곡중앙로 33 관리동 2층,미참여,
236,작은 도서관,낙성대공원도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",화요일,02-872-5575,http://www.gwanakcullib.seoul.kr/ecolas-dl/new_kwan/bp_lib/index.php,관악구,서울특별시 관악구 낙성대로 77 낙성대공원 내,미참여,
261,작은 도서관,낙성대동우듬지작은도서관,"평일 : 10:00~20:00, 주말 : 휴관일","토,일요일",02-876-4072,http://lib.gwanak.go.kr/menu/subpage_01/sub03.php,관악구,서울특별시 관악구 낙성대로4가길 5 낙성대동주민센터 4층,미참여,
268,작은 도서관,난곡동책사랑작은도서관,"평일 : 10:00~20:00, 주말 : 휴관일","토,일요일",02-861-7130,http://lib.gwanak.go.kr/menu/subpage_01/sub03.php,관악구,서울특별시 관악구 난곡로30길 40 난곡동주민센터3층,미참여,
237,작은 도서관,난곡주민도서관새숲,"평일 : 10:00~19:00, 주말 : 10:00~17:00","일요일, 공휴일",02-839-1121,http://www.nangoklib.org,관악구,서울특별시 관악구 난향5길 2 난향꿈둥지 2~3층,미참여,
269,작은 도서관,난향동뜰안에작은도서관,"평일 : 10:00~20:00, 주말 : 휴관일","토,일요일",02-867-1735,http://lib.gwanak.go.kr/menu/subpage_01/sub03.php,관악구,서울특별시 관악구 난곡로 67 난향동주민센터 4층,미참여,
1629,작은 도서관,남가좌1동파랑새작은도서관,"평일 : 09:00~18:00, 주말 : 09:00~12:00",매주 일요일,02-330-8992,http://lib.sdm.or.kr/introduce/introduce02_01.asp,서대문구,서울특별시 서대문구 모래내로 15길 37 2층,참여,
510,작은 도서관,남가좌삼성래미안아파트푸른북카페,"평일 : 11:00~17:00, 주말 : 휴관일","토,일요일",02-376-2743,,서대문구,서울특별시 서대문구 증가로 191 (삼성아파트) 푸른북카페,미참여,
108,공공 도서관,남가좌새롬어린이도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 월요일 및 법정 공휴일,02-360-8670,http://lib.sdm.or.kr,서대문구,서울특별시 서대문구 증가로10길 16-15,참여,
1828,전문 도서관,남북하나재단북한전문자료실,"평일 : 10:30~17:30, 주말 : 휴관일","매주 토요일,일요일, 법정공휴일, 창립기념일",02-3215-5785,www.nkrf.re.kr,마포구,"서울특별시 마포구 새창로 7 SNU빌딩 4,5층",미참여,
2612,공공 도서관,남산타운어린이도서관,"평일 : 09:00~22:00, 주말 : 09:00~18:00","2.4주 일요일, 1.3.5주 월요일, 법정공휴일",02-2230-2941,http://www.e-junggulib.or.kr,중구,서울특별시 중구 다산로 32,미참여,2021-08-28
2145,작은 도서관,남서울중앙교회작은도서관,"평일 : 11:00~18:00, 토 : 12:00~16:00, 일 : 10:00~18:00",,02-3411-9191,www.nsca.or.kr,강남구,서울특별시 강남구 삼성로 40(개포동) 1층,미참여,
2565,작은 도서관,남영동 작은도서관,평일 : 09:00~17:00,"매주 토,일요일 및 법정 공휴일",02-775-9260,https://www.yslibrary.or.kr,용산구,서울특별시 용산구 두텁바위로1길 13(남영동) 지하 1층,참여,
263,작은 도서관,남현동우리작은도서관,"평일 : 10:00~20:00, 주말 : 휴관일","토,일요일",02-525-1334,http://lib.gwanak.go.kr/menu/subpage_01/sub03.php,관악구,서울특별시 관악구 남현1가길 29 남현동복합청사 3층,미참여,
1984,공공 도서관,내곡도서관,"평일 : 09:00~22:00, 주말 : 09:00~18:00","매주 월요일, 법정 공휴일, 임시 공휴일",02-3461-3007,http://naegok.seocholib.or.kr,서초구,서울특별시 서초구 청계산로7길 9-20,참여,
2113,공공 도서관,내를건너서숲으로도서관,"평일 : 09:00~22:00, 주말 : 09:00~18:00","매주 월요일, 법정공휴일",02-307-6701~2,http://www.nslib.or.kr,은평구,서울특별시 은평구 증산로17길 50,참여,
200,작은 도서관,내발산작은도서관,"평일 : 09:00~17:00, 주말 : 휴관","토요일, 일요일, 공휴일",02-2600-7756,http://lib.gangseo.seoul.kr/,강서구,서울특별시 강서구 강서로52길 89 내발산동문화센터 5층,미참여,2022-06-09
1531,작은 도서관,너나울도서관,"평일 : 14:00~18:00, 주말 : 휴관일","토요일,일요일",070-7014-0773,,서초구,서울특별시 서초구 양재대로 2길 90 엘에이치스타힐스 서초힐스아파트,미참여,
2541,작은 도서관,넓은들 작은도서관,평일 : 10:00~18:00,"토,일,법정공휴일",02-2618-1307,http://lib.yangcheon.go.kr/,양천구,서울특별시 양천구 남부순환로88길 5-7 현장민원실 1층,참여,
2493,작은 도서관,네이처힐1단지 작은도서관,평일 : 14:00~18:00,"토, 일, 공휴일",,,서초구,"서울특별시 서초구 형촌길 35, (우면동, 서초네이처힐1단지) 경로당 옆",미참여,2022-01-04
1532,작은 도서관,네이처힐3단지작은도서관(꿈찾는도서관),"평일 : 11:00~18:00, 주말 : 14:00~18:00",일요일,070-8615-8387,http://cafe.naver.com/findadreamlibrary,서초구,서울특별시 서초구 태봉로2길 60 서초네이처힐 3단지 305동 1층,미참여,
1533,작은 도서관,네이처힐4단지작은도서관,"평일 : 14:00~18:00, 주말 : 휴관일","토요일,일요일",02-577-5587,,서초구,서울특별시 서초구 태봉로 2길 5 서초네이처힐4단지 404동 1층,미참여,
1318,작은 도서관,네이처힐5단지작은도서관,"평일 : 14:00~18:00, 주말 : 휴관일","토,일요일",02-577-6617,,서초구,서울특별시 서초구 태봉로2길 65 서초네이처힐 508동 1층,미참여,
1534,작은 도서관,네이처힐6단지작은도서관,"평일 : 14:00~18:00, 주말 : 09:00~20:00",일요일,,,서초구,서울특별시 서초구 태봉로 2길 30 서초네이처힐6단지 아파트,미참여,
1535,작은 도서관,네이처힐가든작은도서관,"평일 : 14:00~18:00, 주말 : 휴관일","토요일,일요일",,,서초구,서울특별시 서초구 형촌길 60 네이처힐가든 아파트,미참여,
438,작은 도서관,노량진1동작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","매주 토요일, 일요일",02-820-2407,http://lib.dongjak.go.kr/,동작구,"서울특별시 동작구 장승배기로28길 30, (노량진동) 노량진1동 주민센터 3층",참여,
439,작은 도서관,노량진2동작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","매주 토요일, 일요일",02-820-2434,http://lib.dongjak.go.kr/,동작구,"서울특별시 동작구 장승배기로19길 48, (노량진동) 노량진2동 주민센터 1층",참여,
1451,작은 도서관,노원문화원작은도서관,"평일 : 09:00~18:00, 주말 : 09:00~12:00",일요일,02-948-1245,www.nwcc.or.kr,노원구,서울특별시 노원구 동일로 197길 24 노원문화원 2층,미참여,
36,공공 도서관,노원어린이도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00","매달 둘째, 넷째 월요일 및 법정공휴일",02-933-7145,http://www.nowonilib.kr,노원구,서울특별시 노원구 한글비석로 346,미참여,2021-01-14
2749,전문 도서관,노원을지대학교병원 의학도서실,평일 : 08:30~17:30,"토~일요일, 법정공휴일",02-970-8445,,강남구,"서울특별시 노원구 한글비석로 68, 지하3층",미참여,2021-09-03
37,공공 도서관,노원중앙도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00","매월 첫째,셋째 월요일 및 법정 공휴일(일요일제외)",02-950-0050,http://www.nowonlib.kr,노원구,서울특별시 노원구 노원로34길 43,미참여,2022-07-04
1933,작은 도서관,녹번만화도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00",매주 월요일,02-356-1676,http://lib.eplib.or.kr,은평구,서울특별시 은평구 은평로 245 은평소방서 옆,참여,
48,공공 도서관,논현도서관,"평일 : 06:00~22:00, 주말 : 06:00~22:00",매주 화요일 및 법정 공휴일,02-3443-7650,http://nhlib.gangnam.go.kr/,강남구,서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층,참여,2021-08-28
50,작은 도서관,논현정보도서관,"평일 : 09:00~18:00, 토요일 : 09:00~17시","일요일, 법정공휴일",02-511-7466,https://library.gangnam.go.kr/nhilib/index.do,강남구,서울특별시 강남구 학동로 169,참여,2021-08-28
1905,전문 도서관,농심식문화전문도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-820-8299,http://library.agroheart.co.kr/index.jsp,동작구,서울특별시 동작구 여의대방로 112,미참여,
1815,전문 도서관,농협중앙회도서실,"평일 : 09:00~18:00, 주말 :","토요일, 일요일, 법정공휴일",02-2080-6137,http://www.lib-nonghyup.com/NHL/,중구,서울특별시 중구 새문안로 16 농협중앙회 3층 도서실,미참여,
1554,작은 도서관,누리미좋은물결작은도서관,"평일 : 11:00~18:00, 주말 : 11:00~15:00",일요일,02-408-2442,없음,송파구,서울특별시 송파구 성내천로 230 4층,미참여,
1560,작은 도서관,늘솔길작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-429-0423,http://www.gdlibrary.or.kr/small/,강동구,"서울특별시 강동구 양재대로156길 123, 5층(고덕동) 고덕1동주민센터 5층",참여,
471,작은 도서관,늘푸른소나무작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~16:00",매주 일요일 및 법정공휴일,02-718-4785,http://www.mplib.mapo.go.kr,마포구,"서울특별시 마포구 백범로 227, 2층 마포문화원 3층",참여,
2630,작은 도서관,늘품작은도서관,평일 : 10:00~17:00,"토,일요일",02-973-1572,,중랑구,서울특별시 중랑구 신내로25길 40 1층,미참여,
289,작은 도서관,능동새마을작은도서관,월~금 13:00 ~ 17:00,"토,일,공휴일",02-453-6525,https://smalllib.gwangjin.go.kr/small/index.do,광진구,서울특별시 광진구 천호대로112길 55 능동주민센터 1층,참여,
1677,작은 도서관,다니엘작은도서관,"평일 : 13:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-385-0664,,은평구,서울특별시 은평구 연서로 41길 13-3 부림교회 부림교회,미참여,
2081,작은 도서관,다모아어린이도서관,"화~금 : 13:00~18:00, 주말 : 13:00~18:00",월요일,02-434-7727,,중랑구,서울특별시 중랑구 용마산로 370 3~5층,미참여,2021-09-03
2016,작은 도서관,다빈작은도서관,"평일 : 11:00~21:00, 주말 : 11:00~21:00","일요일, 공휴일",02-6014-0691,,강서구,"서울특별시 강서구 마곡서로 168, 럭스나인오피스텔L동 205호",미참여,
2613,작은 도서관,다산동작은도서관,"평일 : 10:00~21:00, 주말 : 10:00~14:00(토)","일,법정공휴일",02-2237-5893,www.e-junggulib.or.kr,중구,서울특별시 중구 동호로12길 89,미참여,
2716,공공 도서관,다산성곽도서관,"평일 : 09:00~22:00, 주말 : 09:00~22:00",매주월요일 및 법정 공휴일(일요일제외),02-2230-2965,,중구,서울특별시 중구 동호로17길 173,미참여,2021-08-28
2589,작은 도서관,다섯콩작은도서관,"평일 : 11:00~19:00, 주말 : 11:00~17:00",월요일,02-384-1184,https://5beanslib.blog.me/,은평구,서울특별시 은평구 서오릉로4길 10 성암교회교육관 2층 성암비전센터 2층 다섯콩도서관,미참여,
2657,작은 도서관,다솔작은도서관,,,02-988-5027,,강북구,서울특별시 강북구 인수봉로 12 2층,미참여,2021-08-28
1498,작은 도서관,다솜SH작은도서관,"평일 : (화~금)14:00~15:00, 주말 : 휴관일","월요일, 토요일, 일요일",,,강서구,서울특별시 강서구 마곡서1로 131 2층,미참여,
568,작은 도서관,다슬도서관,"평일 : 10:00~19:00, 주말 : 휴관일","매주 토,일",02-909-0739,http://www.dasol.or.kr/,성북구,서울특별시 성북구 장월로 89-10 1층,미참여,
432,작은 도서관,다양한문화가모이는어린이도서관모두,"평일 : 10:00~18:00, 주말 : 10:00~16:00",법정공휴일,02-965-7530,http://www.modoobook.org,동대문구,"서울특별시 동대문구 이문로 3, 5층 민족통일빌딩 5층",미참여,
2002,작은 도서관,다온작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",,,강동구,"서울특별시 강동구 천중로51길 52, (길동) 2층",미참여,
1547,작은 도서관,다우리작은도서관,"평일 : 11:00~21:00, 주말 : 11:00~17:00",법정공휴일,02-403-4376,https://blog.naver.com/hello_dawoori/220838807931,송파구,서울특별시 송파구 성내천로 100 진미식품 143-6,미참여,
1991,작은 도서관,다울작은도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 월요일, 법정공휴일",02-3473-3360,http://lib.dongjak.go.kr,동작구,"서울특별시 동작구 사당로20길 132, (사당동) 2층",참여,
1542,작은 도서관,다움영어도서관,평일 : 13:00~19:00,"토,일요일, 법정공휴일",02-445-0714,cafe.daum.net/daoomeli,강남구,서울특별시 강남구 개포로 124길 7(일원동),미참여,
2566,작은 도서관,단꿈 작은도서관,"평일 : 10:00~20:00, 토 : 10:00~14:00","주말, 법정공휴일",02-3789-1216,,용산구,서울특별시 용산구 두텁바위로1길 70(후암동) 2층,미참여,
2727,작은 도서관,단비작은도서관,월~금 10:00~16:00,"토, 일, 법정공휴일",02-845-9176,,구로구,서울특별시 구로구 고척동 337 3층,미참여,2021-08-28
352,작은 도서관,달내작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~12:00","일요일, 법정공휴일",02-2116-2435,http://www.nowonlib.kr/,노원구,서울특별시 노원구 초안산로5길 28 월계2동주민센터,미참여,
2542,작은 도서관,달마을작은도서관,"평일 : 10:00~18:00, 토요일 : 10:00~14:00","일, 법정공휴일",02-2620-3979,http://lib.yangcheon.go.kr/,양천구,서울특별시 양천구 목동중앙본로 120 목2동주민센터 2층,참여,
1077,공공 도서관,달빛마루도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00",매주 월요일 및 법정 공휴일,02-911-0993,http://dalbit.sblib.seoul.kr,성북구,서울특별시 성북구 종암로 167 104동 2층,미참여,2021-08-28
2543,작은 도서관,달빛마을작은도서관,평일 : 10:00~18:00,"토,일,법정공휴일",02-2620-4108,http://lib.yangcheon.go.kr/,양천구,서울특별시 양천구 남부순환로54길 5 신월3동주민센터 2층,참여,
1624,작은 도서관,담소작은도서관,"평일 : 월~금 : 09:00~18:00, 주말 : 일: 13:00~18:00",토요일,02-3280-3006,http://cafe.naver.com/damsosalllibray,동작구,"서울특별시 동작구 강남초등길 24, (상도동) 3층",참여,
1294,작은 도서관,담쟁이넝쿨도서관,"평일 : 10:00~18:00, 주말 : 휴관일","토,일요일",02-2625-9210,www.smalllibrary.org,구로구,서울특별시 구로구 개봉로11길 35-9 영문교회 이심전심마을회관 내,미참여,
1522,작은 도서관,담쟁이작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토요일,일요일",,,동작구,서울특별시 동작구 동작대로 13길 27 석천장로교회 1층,미참여,
1483,작은 도서관,담쟁이작은도서관,"평일 : 13:00~19:00, 주말 : 13:00~16:00","월요일,일요일",02-336-9360,없음,마포구,서울특별시 마포구 포은로6길 25 석천감리교회,미참여,
2041,작은 도서관,답십리1동아름드리작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~17:00",법정공휴일,02-2171-6548,http://www.l4d.or.kr,동대문구,서울특별시 동대문구 사가정로 30 답십리1동 주민세터 3층,미참여,
419,작은 도서관,답십리2동민들레작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토,일,공휴일",02-2171-6256,http://www.l4d.or.kr,동대문구,서울특별시 동대문구 한천로11길 18 답십리2동주민센터 2층,미참여,2021-08-28
2691,작은 도서관,당산1동 공립작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-2677-7916,,영등포구,서울특별시 영등포구 양산로23길 11,참여,2021-02-09
2692,작은 도서관,당산2동 공립작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-2632-2276,,영등포구,서울특별시 영등포구 당산로41가길 77,참여,2021-02-09
2555,작은 도서관,"당성책세상, 우리세상 문고","평일 : 10:00~17:00, 주말 : 휴관일","매주 토요일,일요일",02-2675-9191,,영등포구,서울특별시 영등포구 당산로 16길 25 2층,미참여,
2426,작은 도서관,닻별작은도서관,"평일 : 13:00~19:00, 주말 : 13:00~19:00","토, 일요일",02-6494-1098,,강북구,서울특별시 강북구 오현로32길 30-16,미참여,2021-08-28
1744,전문 도서관,대검찰청검찰중앙도서실,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-3480-2516,,서초구,서울특별시 서초구 반포대로 157 대검찰청 본관 4층,미참여,
2556,작은 도서관,대림1동작은도서관,,,835-8290,,영등포구,서울특별시 영등포구 디지털로436,미참여,2021-08-28
2740,작은 도서관,대림2동작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-832-1215,,영등포구,서울특별시 영등포구 대림로23길25 어린이집 4층,참여,2021-08-28
711,작은 도서관,대림3동작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-832-4705,,영등포구,서울특별시 영등포구 대림로 197 주민센터 2층,참여,2021-08-28
80,공공 도서관,대림도서관,"평일 : 09:00~21:00, 주말 : 09:00~17:00","매주 월요일『관공서의 공휴일에 관한 규정』이 정하는 공휴일, 단 일요일 제외",02-828-3700,http://www.dllib.or.kr,영등포구,서울특별시 영등포구 도신로 27,참여,2021-08-28
2060,작은 도서관,대림아파트작은도서관,화~일 : 14:00~17:00,월요일,02-912-5597,http://daelim.egentouch.com/main.do?action=main,성북구,서울특별시 성북구 길음로 118 414동 지하1층,미참여,2021-08-28
